Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
VRSK UW Equity,Verisk Analytics Inc,US,Industrials,64.35,71.81,0,389.895,725.984,2677.7,499.202,358.149,37.5869,59.1912,1698.585,-30.899,13.158,10612.6186,779.68,70.046,840.44
AA UN Equity,Alcoa Inc,US,Materials,15.65,14.79,-138,-2231,15135,37122,1136,-36,-5.3171,18.3525,23114,-459,35.874,19034.3412,157,463,5716
AXP UN Equity,American Express Co,US,Financials,80.69,81.59,-1262,5700,20216,153862,12215,10764,24.6748,#N/A N/A,35445,#N/A N/A,21.819,83488.0479,11781,1765,37830
EPE UN Equity,EP Energy Corp,US,Energy,10.35,11.25,0,150,3713,9026,1079,-970,27.109,41.327,2110,-25,94.975,2542.161,1402,320,4358
VZ UN Equity,Verizon Communications Inc,US,Telecommunication Services,45.71,49.45,-7169,16923,17968,226293,33588,16167,27.0488,61.9934,124952,#N/A N/A,15.874,189683.8673,50446,4694,101377
BA UN Equity,Boeing Co/The,US,Industrials,145.37,150.85,-1961,5213,14637,92653,5240,3034,7.7299,15.1534,90079,-1258,24.113,103638.704,8862,348,-1197
RCL UN Equity,Royal Caribbean Cruises Ltd,US,Consumer Discretionary,75.55,76.42,-221.327,661.396,9021.028,19599.91,1641.528,852.779,11.0661,58.3282,8110.187,150.956,37.95,16567.9135,1667.169,269.64,6802.893
CAT UN Equity,Caterpillar Inc,US,Industrials,79.97,82.9,-1578,3941,18896,84488,8766,5101,10.3303,26.9018,55342,-86,28.774,48413.7472,8909,467,5241
JPM UN Equity,JPMorgan Chase & Co,US,Financials,54.38,61.28,-6860,20527,231277,2527005,739,739,33.1854,#N/A N/A,103881,#N/A N/A,24.084,202010.8267,#N/A N/A,8363,37168
CVX UN Equity,Chevron Corp,US,Energy,102.53,106.68,-7829,20700,157307,265431,35430,-1922,11.9148,15.1022,204023,1191,27.628,193825.2177,39864,#N/A N/A,11227
LII UN Equity,Lennox International Inc,US,Industrials,98.31,104.26,-50.1,196.4,501.7,1876.5,168.8,71.6,9.5188,26.8008,3304,-27.7,22.51,4722.832,375.5,#N/A N/A,547.9
KO UN Equity,Coca-Cola Co/The,US,Consumer Staples,41.17,43.3,-5155,7850,33669,96314,10809,8266,22.4451,61.3417,46166,#N/A N/A,19.206,180329.2437,12372,493,18096
DIS UN Equity,Walt Disney Co/The,US,Consumer Discretionary,90.96,104.08,-1508,7501,48178,84141,9780,6469,23.2909,45.8751,48813,-480,17.926,154174.9238,13657,294,11407
PSX UN Equity,Phillips 66,US,Energy,70.32,78.46,-1019,4441,22194,49650,3554,298,1.9109,5.8148,154640,-154,40.352,38923.0642,3912,262,3105
DD UN Equity,EI du Pont de Nemours & Co,US,Materials,67.6467,73.9545,-1687,3120,15982,47911,3710,1740,11.2913,37.7949,33486,#N/A N/A,19.869,64512.4874,5406,398,8620
XOM UN Equity,Exxon Mobil Corp,US,Energy,87.42,88.54,-11394,34300,187495,352764,47909,15415,9.9283,13.6957,385786,#N/A N/A,22.113,370182.5084,55521,#N/A N/A,16872
GE UN Equity,General Electric Co,US,Industrials,23.89,25.99,-8569,13287,143511,650021,27662,19357,9.9009,34.777,136573,-1372,17.171,239907.976,19949,1488,5695
EVHC UN Equity,Envision Healthcare Holdings Inc,US,Health Care,34.38,36.62,0,83.517,1715.464,4594.494,222.494,146.449,8.5224,#N/A N/A,4224.712,-141.999,25.486,6309.5882,520.185,122.968,1794.16
HPQ UN Equity,HP Inc,US,Information Technology,16.4032,15.8176,-1184,5013,27127,103206,12333,8480,6.4466,23.8798,111454,2437,29.68,66265.3838,11519,344,4392
HD UN Equity,Home Depot Inc/The,US,Consumer Discretionary,104.42,114.75,-2456,5979,10110,41512,7894,6470,12.2861,34.2663,81710,-17,21.391,137607.5363,11824,799,14546
IBM UN Equity,International Business Machines Corp,US,Information Technology,153.31,161.94,-4201,12724,14396,118911,17336,13479,19.9667,49.8444,96065,#N/A N/A,23.201,151724.8453,23841,480,36132
DXCM UW Equity,DexCom Inc,US,Health Care,59.78,60.74,0,-26.3,115,159.4,19.6,5.7,-11.2092,66.6372,226.6,-9.8,44.564,4576.8684,-17.5,0.9,-69.7
JNJ UN Equity,Johnson & Johnson,US,Health Care,100.14,102.51,-7674,17321,76591,132097,18245,14598,28.086,69.3035,74432,-60,18.897,280302.9106,24911,528,-17738
LPLA UW Equity,LPL Financial Holdings Inc,US,Financials,41.15,44.86,-91.44,173.916,1063.372,3918.167,242.461,135.179,7.5772,#N/A N/A,4363.324,#N/A N/A,28.141,4065.9871,423.286,#N/A N/A,1240.901
MCD UN Equity,McDonald's Corp,US,Consumer Discretionary,92.44,98.9,-3199.1,5057.3,13625.9,36020.8,7100.7,4379.4,30.0329,38.3531,27962.3,#N/A N/A,18.343,89962.942,10043.5,556.2,11896.9
KING UN Equity,King Digital Entertainment Plc,US,Information Technology,13.2,15.79,#N/A N/A,593.48,819.559,1418.934,#N/A N/A,#N/A N/A,32.5528,68.434,2316.339,#N/A N/A,46.871,4157.1065,765.511,#N/A N/A,-976.355
MRK UN Equity,Merck & Co Inc,US,Health Care,60.28,58.54,-5291,5385,45360,101808,12050,10794,13.5163,59.0797,43074,#N/A N/A,22.963,171850.642,12894,768,13494
MMM UN Equity,3M Co,US,Industrials,162.3,168.65,-2095,4880,16206,32776,6436,4890,22.2664,48.2302,31671,-281,19.901,104004.899,8467,142,3543
BAC UN Equity,Bank of America Corp,US,Financials,15.15,15.81,-2534,4234,238681,2123613,66546,65243,7.344,#N/A N/A,98353,#N/A N/A,25.596,159324.2205,#N/A N/A,11343,218354
PFE UN Equity,Pfizer Inc,US,Health Care,31.25,34.32,-6524,10473,78305,171362,17210,15948,28.2646,80.6794,50045,#N/A N/A,16.211,196895.5383,19840,1354,3609
