Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
VRSK UW Equity,Verisk Analytics Inc,US,Industrials,64.05,64.35,0,389.895,725.984,2677.7,499.202,358.149,37.5869,59.1912,1698.585,-30.899,12.972,10563.1425,779.68,70.046,840.44
AA UN Equity,Alcoa Inc,US,Materials,15.79,15.65,-138,-2231,15135,37122,1136,-36,-5.3171,18.3525,23114,-459,31.961,19204.6164,157,463,5716
AXP UN Equity,American Express Co,US,Financials,93.04,80.69,-1262,5700,20216,153862,12215,10764,24.6748,#N/A N/A,35445,#N/A N/A,18.857,96266.3028,11781,1765,37830
EPE UN Equity,EP Energy Corp,US,Energy,10.44,10.35,0,150,3713,9026,1079,-970,27.109,41.327,2110,-25,87.9,2564.2667,1402,320,4358
VZ UN Equity,Verizon Communications Inc,US,Telecommunication Services,46.78,45.71,-7169,16923,17968,226293,33588,16167,27.0488,61.9934,124952,#N/A N/A,14.859,194124.0715,50446,4694,101377
BA UN Equity,Boeing Co/The,US,Industrials,129.98,145.37,-1961,5213,14637,92653,5240,3034,7.7299,15.1534,90079,-1258,19.75,92666.7039,8862,348,-1197
RCL UN Equity,Royal Caribbean Cruises Ltd,US,Consumer Discretionary,82.43,75.55,-221.327,661.396,9021.028,19599.91,1641.528,852.779,11.0661,58.3282,8110.187,150.956,35.693,18354.9621,1667.169,269.64,6802.893
CAT UN Equity,Caterpillar Inc,US,Industrials,91.53,79.97,-1578,3941,18896,84488,8766,5101,10.3303,26.9018,55342,-86,23.672,55412.1581,8909,467,5241
JPM UN Equity,JPMorgan Chase & Co,US,Financials,62.58,54.38,-6860,20527,231277,2527005,739,739,33.1854,#N/A N/A,103881,#N/A N/A,19.295,233935.8501,#N/A N/A,8363,37168
CVX UN Equity,Chevron Corp,US,Energy,112.18,102.53,-7829,20700,157307,265431,35430,-1922,11.9148,15.1022,204023,1191,24.256,212067.8135,39864,#N/A N/A,11227
LII UN Equity,Lennox International Inc,US,Industrials,95.07,98.31,-50.1,196.4,501.7,1876.5,168.8,71.6,9.5188,26.8008,3304,-27.7,22.308,4567.1817,375.5,#N/A N/A,547.9
KO UN Equity,Coca-Cola Co/The,US,Consumer Staples,42.22,41.17,-5155,7850,33669,96314,10809,8266,22.4451,61.3417,46166,#N/A N/A,17.984,184928.3621,12372,493,18096
DIS UN Equity,Walt Disney Co/The,US,Consumer Discretionary,94.19,90.96,-1508,7501,48178,84141,9780,6469,23.2909,45.8751,48813,-480,17.01,159719.0017,13657,294,11407
PSX UN Equity,Phillips 66,US,Energy,71.7,70.32,-1019,4441,22194,49650,3554,298,1.9109,5.8148,154640,-154,33.618,39686.9128,3912,262,3105
DD UN Equity,EI du Pont de Nemours & Co,US,Materials,70.2401,67.6467,-1687,3120,15982,47911,3710,1740,11.2913,37.7949,33486,#N/A N/A,18.951,66985.7228,5406,398,8620
XOM UN Equity,Exxon Mobil Corp,US,Energy,92.45,87.42,-11394,34300,187495,352764,47909,15415,9.9283,13.6957,385786,#N/A N/A,19.969,391482.1884,55521,#N/A N/A,16872
GE UN Equity,General Electric Co,US,Industrials,25.27,23.89,-8569,13287,143511,650021,27662,19357,9.9009,34.777,136573,-1372,15.445,253766.2015,19949,1488,5695
EVHC UN Equity,Envision Healthcare Holdings Inc,US,Health Care,34.69,34.38,0,83.517,1715.464,4594.494,222.494,146.449,8.5224,#N/A N/A,4224.712,-141.999,22.86,6366.481,520.185,122.968,1794.16
HPQ UN Equity,HP Inc,US,Information Technology,18.2193,16.4032,-1184,5013,27127,103206,12333,8480,6.4466,23.8798,111454,2437,25.895,73601.7119,11519,344,4392
HD UN Equity,Home Depot Inc/The,US,Consumer Discretionary,104.97,104.42,-2456,5979,10110,41512,7894,6470,12.2861,34.2663,81710,-17,18.611,138332.3414,11824,799,14546
IBM UN Equity,International Business Machines Corp,US,Information Technology,160.44,153.31,-4201,12724,14396,118911,17336,13479,19.9667,49.8444,96065,#N/A N/A,20.359,158781.1244,23841,480,36132
DXCM UW Equity,DexCom Inc,US,Health Care,55.05,59.78,0,-26.3,115,159.4,19.6,5.7,-11.2092,66.6372,226.6,-9.8,42.466,4214.7308,-17.5,0.9,-69.7
JNJ UN Equity,Johnson & Johnson,US,Health Care,104.57,100.14,-7674,17321,76591,132097,18245,14598,28.086,69.3035,74432,-60,16.767,292702.9695,24911,528,-17738
LPLA UW Equity,LPL Financial Holdings Inc,US,Financials,44.55,41.15,-91.44,173.916,1063.372,3918.167,242.461,135.179,7.5772,#N/A N/A,4363.324,#N/A N/A,26.032,4401.9375,423.286,#N/A N/A,1240.901
MCD UN Equity,McDonald's Corp,US,Consumer Discretionary,93.7,92.44,-3199.1,5057.3,13625.9,36020.8,7100.7,4379.4,30.0329,38.3531,27962.3,#N/A N/A,15.765,91189.1786,10043.5,556.2,11896.9
KING UN Equity,King Digital Entertainment Plc,US,Information Technology,15.36,13.2,#N/A N/A,593.48,819.559,1418.934,#N/A N/A,#N/A N/A,32.5528,68.434,2316.339,#N/A N/A,43.124,4837.3603,765.511,#N/A N/A,-976.355
MRK UN Equity,Merck & Co Inc,US,Health Care,56.79,60.28,-5291,5385,45360,101808,12050,10794,13.5163,59.0797,43074,#N/A N/A,20.485,161901.0942,12894,768,13494
MMM UN Equity,3M Co,US,Industrials,164.32,162.3,-2095,4880,16206,32776,6436,4890,22.2664,48.2302,31671,-281,17.839,105299.353,8467,142,3543
BAC UN Equity,Bank of America Corp,US,Financials,17.89,15.15,-2534,4234,238681,2123613,66546,65243,7.344,#N/A N/A,98353,#N/A N/A,19.823,188139.294,#N/A N/A,11343,218354
PFE UN Equity,Pfizer Inc,US,Health Care,31.15,31.25,-6524,10473,78305,171362,17210,15948,28.2646,80.6794,50045,#N/A N/A,15.018,196265.4726,19840,1354,3609
PG UN Equity,Procter & Gamble Co/The,US,Consumer Staples,91.09,84.29,-7009,10351,66829,138183,15547,11614,18.207,48.758,79107,-11,11.885,246135.988,17567,714,22386
BKU UN Equity,BankUnited Inc,US,Financials,28.97,27.66,-87.545,201.608,2040.169,17680.739,-75.883,-103.952,40.3589,#N/A N/A,858.309,#N/A N/A,20.191,2944.8801,#N/A N/A,102.335,2245.504
T UN Equity,AT&T Inc,US,Telecommunication Services,33.59,32.92,-9541,17249,93119,287939,33510,11302,22.6719,58.7516,131171,-2158,14.215,174231.33,48125,4216,73167
SPB UN Equity,Spectrum Brands Holdings Inc,US,Consumer Staples,95.68,89.68,-61.904,214.055,1086.83,5513.029,432.69,359.343,10.8815,35.506,4429.097,#N/A N/A,14.719,5088.1829,639.581,202.124,2796.24
TRV UN Equity,Travelers Cos Inc/The,US,Financials,105.85,102.82,-729,3625,25321,104522,4095,4095,19.8001,#N/A N/A,27116,#N/A N/A,11.434,35078.2985,#N/A N/A,369,5981
CIE UN Equity,Cobalt International Energy Inc,US,Energy,8.89,9.12,0,-516.319,2322.189,4632.269,-116.221,-520.798,#N/A N/A,#N/A N/A,0,0,65.184,3667.4527,-376.475,66.979,170.732
TKR UN Equity,Timken Co/The,US,Industrials,42.68,38.01,-89.7,176.9,1643.9,3106.7,371.6,277.2,7.4196,28.8918,3063.5,-24.3,22.415,3785.1473,352.8,27.3,293.2
UTX UN Equity,United Technologies Corp,US,Industrials,115,114.78,-2051,6210,35530,91774,7611,5907,14.8401,27.2288,63308,-285,16.4,104840.7074,11233,982,14963
WMT UN Equity,Wal-Mart Stores Inc,US,Consumer Staples,85.88,84.98,-6153,15828,84053,207668,25407,13555,5.4869,24.773,483792,-298,16.896,276807.5522,35696,2419,48743
CSCO UW Equity,Cisco Systems Inc,US,Information Technology,27.815,26.365,-3817,7685,56715,103978,12174,10929,19.5171,58.5493,47302,702,17.285,142234.4608,11669,563,-31135
INTC UW Equity,Intel Corp,US,Information Technology,36.29,33.04,-4461,10668,56988,90616,20685,9775,26.2681,62.854,54983,64,25.011,175462.15,22774,194,-8841
MSFT UW Equity,Microsoft Corp,US,Information Technology,46.45,40.4,-9270,21370,90170,169656,32380,26844,29.8006,67.0313,91505,-1110,20.4,382880.5004,32955,640,-65473
P UN Equity,Pandora Media Inc,US,Information Technology,17.83,16.6,0,-33.707,542.354,702.267,8.298,-22.663,-3.9404,43.5294,853.164,-60.608,55.325,3710.1864,-19.331,#N/A N/A,-316.394
C UN Equity,Citigroup Inc,US,Financials,54.11,46.95,-543,8844,213891,1882849,39973,36358,18.1563,#N/A N/A,91285,#N/A N/A,20.453,163925.6109,34367,14268,566425
OA UN Equity,Orbital ATK Inc,US,Industrials,54.1692,60.7208,#N/A N/A,349.445,2005.859,5765.799,#N/A N/A,#N/A N/A,12.0482,23.6731,5048.115,#N/A N/A,32.354,3712.8153,#N/A N/A,84.846,2040.832
AIG UN Equity,American International Group Inc,US,Financials,56.01,48.87,-686,8852,108983,527190,6274,6274,20.7964,#N/A N/A,66396,#N/A N/A,17.051,78409.0704,#N/A N/A,1886,34290
HON UN Equity,Honeywell International Inc,US,Industrials,99.92,97.76,-1459,4230,19063,46181,4930,3850,14.6635,28.2583,40427,-512,19.159,78218.4054,6875,#N/A N/A,125
ATO UN Equity,Atmos Energy Corp,US,Utilities,55.74,56.91,-146.248,289.817,3086.232,8594.704,739.986,-95.265,12.3732,32.027,4940.916,-41.408,17.943,5618.7559,865.336,129.295,2610.423
MO UN Equity,Altria Group Inc,US,Consumer Staples,49.27,53.1,-3824,4319,4326,34082,4459,4302,42.3263,56.0498,17736,-13,14.539,97380.6815,7710,#N/A N/A,11752
BOH UN Equity,Bank of Hawaii Corp,US,Financials,59.31,56.46,-80.012,160.906,1057.413,14510.166,206.564,191.845,41.7225,#N/A N/A,592.65,#N/A N/A,17.647,2602.2593,#N/A N/A,38.029,329.016
LEA UN Equity,Lear Corp,US,Consumer Discretionary,98.08,100.35,-63.2,483.4,3155.8,8691.2,802.2,390,4.8228,8.1463,17433.7,-325,28.157,7773.3623,1150.6,63.9,196
WLK UN Equity,Westlake Chemical Corp,US,Materials,61.09,57.31,-70.722,665.669,3122.348,5126.283,981.353,489.238,25.506,29.5472,4231.104,10.099,39.989,8130.0176,1269.092,31.343,-49.5
IP UN Equity,International Paper Co,US,Materials,53.58,52.66,-605,857,6977,29403,2970,1570,5.9646,22.3876,23522,9,20.968,22697.229,2842,662,7994
CBT UN Equity,Cabot Corp,US,Materials,43.86,42.41,-73,200,2064,4084,315,144,9.1856,19.7697,3647,-54,31.881,2809.1398,536,55,1032
ENH UN Equity,Endurance Specialty Holdings Ltd,US,Financials,59.84,61.12,-92.03,289.769,3120.454,10145.818,226.67,178.44,18.3643,#N/A N/A,2060.318,#N/A N/A,14.764,2678.307,#N/A N/A,40.96,-277.984
