TeamId,TeamName,SubmissionDate,Score
24496,InvincibleGuy,"2012-09-30 04:38:59",0.77990
25643,"Jason Noriega","2012-10-20 23:37:46",0.00000
25643,"Jason Noriega","2012-10-20 23:41:17",0.76077
25643,"Jason Noriega","2012-10-21 00:01:52",0.76555
25643,"Jason Noriega","2012-10-22 00:07:40",0.77990
25643,"Jason Noriega","2012-10-23 01:09:26",0.78947
27345,mauri,"2012-11-03 12:03:40",0.76555
27345,mauri,"2012-11-03 12:25:03",0.77512
25643,"Jason Noriega","2012-11-06 02:58:37",0.79426
25643,"Jason Noriega","2012-11-07 02:59:08",0.79904
27945,Midori,"2012-11-11 01:01:10",0.36364
30818,mark.trovinger,"2012-12-17 04:01:28",0.76555
31969,aboul,"2013-01-02 13:58:29",0.76077
31969,aboul,"2013-01-02 14:10:23",0.76555
32141,"Jbullis ","2013-01-05 21:21:15",0.77033
32523,RyanAnderson,"2013-01-12 03:42:53",0.76555
32671,"Andreas Schlapsi","2013-01-13 20:45:09",0.76555
32671,"Andreas Schlapsi","2013-01-13 22:24:30",0.77990
33366,gingerman,"2013-01-24 22:35:19",0.73684
33366,gingerman,"2013-01-25 07:31:09",0.76077
33724,"Norbert Liki","2013-01-30 22:51:20",0.75598
34026,"Julien Nauroy","2013-02-04 16:24:17",0.57895
31969,aboul,"2013-02-07 10:18:53",0.78947
34862,Oreo,"2013-02-17 02:25:24",0.00957
34862,Oreo,"2013-02-18 00:16:49",0.75120
34862,Oreo,"2013-02-18 01:17:16",0.76077
33724,"Norbert Liki","2013-02-21 12:33:35",0.77512
34862,Oreo,"2013-02-21 16:17:20",0.76555
35486,Amogh,"2013-02-26 12:08:43",0.55502
35486,Amogh,"2013-03-06 08:43:30",0.56459
36531,boris1185,"2013-03-11 21:15:04",0.73206
36531,boris1185,"2013-03-11 21:31:55",0.73684
36531,boris1185,"2013-03-14 13:50:50",0.77512
36531,boris1185,"2013-03-15 05:11:24",0.78947
36531,boris1185,"2013-03-21 05:02:03",0.79426
37142,"Pasha and the Team","2013-03-26 17:11:49",0.76555
38973,kirk,"2013-04-07 19:41:37",0.62679
38973,kirk,"2013-04-07 21:28:27",0.77512
38973,kirk,"2013-04-07 21:32:20",0.77990
34862,Oreo,"2013-05-05 12:10:03",0.77033
34862,Oreo,"2013-05-06 16:02:36",0.77990
37996,sakuag333,"2013-05-15 09:32:34",0.56938
37996,sakuag333,"2013-05-15 09:46:44",0.64593
37996,sakuag333,"2013-05-15 10:12:56",0.65550
37996,sakuag333,"2013-05-16 02:52:36",0.71770
37996,sakuag333,"2013-05-16 03:41:58",0.76077
38152,Hello!,"2013-05-20 19:05:16",0.77033
38152,Hello!,"2013-05-21 04:20:35",0.78469
44225,jbbassj,"2013-05-23 19:57:24",0.77033
37996,sakuag333,"2013-05-30 21:14:43",0.76555
45139,Ben,"2013-05-31 20:04:38",0.77033
45139,Ben,"2013-06-01 00:50:12",0.77512
