0,b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,420,0,2009-09-14,-
1,b,34.83,4.0,u,g,d,bb,12.5,t,f,0,t,g,?,0,2009-10-19,-
2,a,38.58,5.0,u,g,cc,v,13.5,t,f,0,t,g,980,0,2010-05-05,-
3,b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,400,0,2009-09-29,-
4,b,44.83,7.0,y,p,c,v,1.625,f,f,0,f,g,160,2,2010-06-15,-
5,b,20.67,5.29,u,g,q,v,0.375,t,t,1,f,g,160,0,2009-12-12,-
6,b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,443,0,2010-02-12,-
7,a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,160,0,2009-11-17,-
8,b,21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180,20,2009-07-16,-
9,b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,140,0,2009-09-12,-
10,b,49.58,19.0,u,g,ff,ff,0.0,t,t,1,f,g,94,0,2010-01-24,-
11,a,27.67,1.5,u,g,m,v,2.0,t,f,0,f,s,368,0,2010-02-01,-
12,b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288,0,2009-10-01,-
13,a,?,3.5,u,g,d,v,3.0,t,f,0,t,g,300,0,2010-04-02,-
14,b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,200,0,2009-07-30,-
15,b,37.17,4.0,u,g,c,bb,5.0,t,f,0,t,s,280,0,2010-08-04,-
16,b,?,0.375,u,g,d,v,0.875,t,f,0,t,s,928,0,2009-10-30,-
17,b,25.67,2.21,y,p,aa,v,4.0,t,f,0,f,g,188,0,2010-06-03,-
18,b,34,4.5,u,g,aa,v,1.0,t,f,0,t,g,240,0,2010-03-27,-
19,a,49,1.5,u,g,j,j,0.0,t,f,0,t,g,100,27,2009-08-24,-
20,b,62.5,12.75,y,p,c,h,5.0,t,f,0,f,g,112,0,2010-01-05,-
21,b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,120,0,2010-01-06,-
22,b,?,5.0,y,p,aa,v,8.5,t,f,0,f,g,0,0,2010-05-10,-
23,b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,200,100,2009-04-08,-
24,b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0,225,2009-05-12,-
25,a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171,0,2009-07-19,-
26,b,23,0.625,y,p,aa,v,0.125,t,f,0,f,g,180,1,2009-08-10,-
27,b,?,0.5,u,g,c,bb,0.835,t,f,0,t,s,320,0,2009-11-06,-
28,a,22.5,11.0,y,p,q,v,3.0,t,f,0,t,g,268,0,2010-06-24,-
